bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,attack_personal_pct,outcome_bipartisanship_pct,attack_personal_norm,outcome_bipartisanship_norm,attack_personal_pct_norm,outcome_bipartisanship_pct_norm
A000055,Robert Aderholt,71.0,1.0,2.0,1.4084507042253522,2.8169014084507045,29.88410532808442,16.216277000614294,27.97028171146477,16.25779333497599
A000148,Jake Auchincloss,473.0,26.0,57.0,5.496828752642706,12.050739957716702,65.42497248548318,95.94135316094659,67.31738399466539,89.17251390666763
A000369,Mark Amodei,111.0,1.0,14.0,0.9009009009009009,12.612612612612612,29.88410532808442,34.82407507109054,23.826529814654396,91.47845155921013
A000370,Alma Adams,38.0,1.0,1.0,2.631578947368421,2.631578947368421,29.88410532808442,15.027941766894298,39.171428094251326,15.18651972940912
A000371,Pete Aguilar,38.0,0.0,1.0,0.0,2.631578947368421,28.613247652723473,15.027941766894298,17.376426176168696,15.18651972940912
A000372,Rick Allen,268.0,0.0,18.0,0.0,6.7164179104477615,28.613247652723473,42.40421558190651,17.376426176168696,48.144225544923586
A000375,Jodey Arrington,439.0,9.0,15.0,2.050113895216401,3.416856492027335,40.831611500213924,36.676009636889034,33.66262324968275,20.053887942562582
A000379,Mark Alford,392.0,4.0,26.0,1.0204081632653061,6.63265306122449,33.84160303869421,58.13932582946625,24.77095554826802,47.342223383973526
A000380,Gabe Amo,225.0,19.0,13.0,8.444444444444445,5.777777777777778,55.48575779151855,33.00763924499962,88.35734449392602,39.274611397413565
A000381,Yassamin Ansari,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
A000382,Angela Alsobrooks,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
B000490,Sanford Bishop,74.0,0.0,5.0,0.0,6.756756756756757,28.613247652723473,20.137370370957736,17.376426176168696,48.530735934968384
B000668,Cliff Bentz,147.0,1.0,5.0,0.6802721088435374,3.4013605442176873,29.88410532808442,20.137370370957736,22.13600382271677,19.94959716139652
B000740,Stephanie Bice,273.0,1.0,21.0,0.3663003663003663,7.6923076923076925,29.88410532808442,48.29783509252229,19.852714622415572,57.458312740859604
B000825,Lauren Boebert,191.0,3.0,13.0,1.5706806282722512,6.806282722513089,32.499640115792296,33.00763924499962,29.364841789178552,49.00545863284246
B001230,Tammy Baldwin,499.0,28.0,47.0,5.61122244488978,9.418837675350701,68.11025127028834,89.39190293908455,68.35259230889135,72.67742535348741
B001236,John Boozman,299.0,1.0,55.0,0.33444816053511706,18.394648829431436,29.88410532808442,94.99805441004064,19.629292066648645,99.71164088631868
B001243,Marsha Blackburn,699.0,23.0,25.0,3.290414878397711,3.5765379113018603,61.25122191482267,56.191698732131215,45.68070394684059,21.14752327765207
B001257,Gus Bilirakis,346.0,2.0,15.0,0.5780346820809248,4.335260115606936,31.1800069324024,36.676009636889034,21.376495452181693,26.798194306624403
