Name,Chamber,bioguide_id,State,District,Party,Vote for Other Party,Vote for Cosponsored Bill
Barry Moore,House,M001212,Alabama,1,Republican,0.0,7.0
Shomari Figures,House,F000481,Alabama,2,Democratic,6.0,4.0
Mike D. Rogers,House,R000575,Alabama,3,Republican,0.0,7.0
Robert B. Aderholt,House,A000055,Alabama,4,Republican,0.0,7.0
Dale W. Strong,House,S001220,Alabama,5,Republican,0.0,7.0
Gary J. Palmer,House,P000609,Alabama,6,Republican,0.0,7.0
Terri A. Sewell,House,S001185,Alabama,7,Democratic,6.0,5.0
Katie Boyd Britt,Senate,B001319,Alabama,,Republican,0.0,3.0
Tommy Tuberville,Senate,T000278,Alabama,,Republican,0.0,3.0
Nicholas Begich,House,B001323,Alaska,At Large,Republican,0.0,7.0
Lisa Murkowski,Senate,M001153,Alaska,,Republican,0.0,3.0
Dan Sullivan,Senate,S001198,Alaska,,Republican,0.0,3.0
David Schweikert,House,S001183,Arizona,1,Republican,0.0,7.0
Elijah Crane,House,C001132,Arizona,2,Republican,0.0,7.0
Yassamin Ansari,House,A000381,Arizona,3,Democratic,2.0,1.0
Greg Stanton,House,S001211,Arizona,4,Democratic,8.0,5.0
Andy Biggs,House,B001302,Arizona,5,Republican,0.0,7.0
Juan Ciscomani,House,C001133,Arizona,6,Republican,0.0,7.0
Raúl M. Grijalva,House,G000551,Arizona,7,Democratic,0.0,0.0
Abraham Hamadeh,House,H001098,Arizona,8,Republican,0.0,7.0
Paul A. Gosar,House,G000565,Arizona,9,Republican,0.0,7.0
Ruben Gallego,Senate,G000574,Arizona,,Democratic,2.0,2.0
Mark Kelly,Senate,K000377,Arizona,,Democratic,2.0,2.0
"Eric A. ""Rick"" Crawford",House,C001087,Arkansas,1,Republican,0.0,7.0
J. French Hill,House,H001072,Arkansas,2,Republican,0.0,7.0
Steve Womack,House,W000809,Arkansas,3,Republican,0.0,7.0
Bruce Westerman,House,W000821,Arkansas,4,Republican,0.0,7.0
John Boozman,Senate,B001236,Arkansas,,Republican,0.0,3.0
Tom Cotton,Senate,C001095,Arkansas,,Republican,0.0,3.0
Doug LaMalfa,House,L000578,California,1,Republican,0.0,7.0
Jared Huffman,House,H001068,California,2,Democratic,1.0,1.0
Kevin Kiley,House,K000401,California,3,Republican,0.0,7.0
Mike Thompson,House,T000460,California,4,Democratic,3.0,3.0
