id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/223e43bd-1056-4b71-ab60-4079f89af9d5,HR 1776,New Health Options Act of 2025,['bill'],[],119,United States,lower
ocd-bill/757c0231-d2d1-408a-a06a-202e3d0abef1,S 693,DHS Better Ballistic Body Armor Act,['bill'],[],119,United States,upper
ocd-bill/be153c8b-cb6d-4bc2-a4e8-b4f2474a309a,S 690,Overdose RADAR Act,['bill'],[],119,United States,upper
ocd-bill/aae01c67-1682-43b0-b4d5-86862e3dc2d7,HR 693,Restoring Confidence in the World Anti-Doping Agency Act of 2025,['bill'],[],119,United States,lower
ocd-bill/c3944c75-caca-4e65-ae2d-910575f0ba68,HR 1806,Triple-Negative Breast Cancer Research and Education Act of 2025,['bill'],[],119,United States,lower
ocd-bill/481d3e06-59d0-4d1c-8392-a03752998039,S 392,Sloan Canyon Conservation and Lateral Pipeline Act,['bill'],[],119,United States,upper
ocd-bill/8b015b9a-51f4-4f04-a8d1-e4ae137cc1d4,HR 1593,Disaster Displacement Assistance Improvement Act of 2025,['bill'],[],119,United States,lower
ocd-bill/0cfa368d-18b9-4778-abaa-9d7d329a0386,HR 1639,BOAT Act,['bill'],[],119,United States,lower
ocd-bill/8fbd3dca-79db-4219-8adb-3269a8ae3e53,HR 1595,Defund NPR Act,['bill'],[],119,United States,lower
ocd-bill/d5837e7f-e343-4c2a-9488-479c6a157c7d,HR 1602,Financial Privacy Act of 2025,['bill'],[],119,United States,lower
ocd-bill/ec8e0e1a-ac02-4535-a5ce-801a0926b5c7,HR 216,SEC Act of 2025,['bill'],[],119,United States,lower
ocd-bill/38dafc5b-9506-4651-aa7a-c285569191d5,HR 1620,Finn Sawyer Access to Cancer Testing Act,['bill'],[],119,United States,lower
ocd-bill/ce7930ad-bd4e-45ed-978f-9022b31e75ca,HRES 227,"Expressing support for the designation of March 18, 2025, as ""National Agriculture Day"" and celebrating the importance of agriculture as one of the most impactful industries in the United States.",['resolution'],[],119,United States,lower
ocd-bill/3a77be9b-56c3-4d36-8c2f-8c8af6e1f937,HRES 231,Recognizing the longstanding and invaluable contributions of Black midwives to maternal and infant health in the United States.,['resolution'],[],119,United States,lower
ocd-bill/9a70a4d4-ff11-4b28-a485-ce438b4f786a,HR 211,Equal Access to Contraception for Veterans Act,['bill'],[],119,United States,lower
ocd-bill/bef6e6da-aaba-4e15-a6a5-9ec3dfbb4222,HR 854,DERAIL Act,['bill'],[],119,United States,lower
ocd-bill/6e3fec24-9f04-4c7c-9423-b44f972bab82,HRES 42,Electing Members to certain standing committees of the House of Representatives.,['resolution'],[],119,United States,lower
ocd-bill/030c73e7-b1ab-427a-9701-f7ceb3517d71,S 792,Government Spectrum Valuation Act,['bill'],[],119,United States,upper
ocd-bill/7978fede-f921-4e2f-9f88-cbad41646edd,SRES 97,A resolution honoring the life of Nebraska community leader Howard L. Hawks.,['resolution'],[],119,United States,upper
ocd-bill/a339c277-7efb-4a10-98c8-50f9899d5e9e,S 705,Innovation in Pediatric Drugs Act of 2025,['bill'],[],119,United States,upper
ocd-bill/70b49080-123e-476c-8b73-31b8262bef39,S 721,Sickle Cell Disease Comprehensive Care Act,['bill'],[],119,United States,upper
ocd-bill/9b83c151-e168-4adf-8784-3e7472328707,S 727,U.S. Customs and Border Protection Officer Retirement Technical Corrections Act,['bill'],[],119,United States,upper
ocd-bill/8865ccd5-09f1-4405-90a2-fdbad26f042c,S 718,Eric’s Law,['bill'],[],119,United States,upper
ocd-bill/cbe7e4a3-b6bc-43fa-810f-04ea7eb86208,S 724,Temporary Extension of Fentanyl-Related Substances Scheduling Act,['bill'],[],119,United States,upper
ocd-bill/28764423-5cde-49d6-83e2-278d50560f83,S 711,Transportation Freedom Act,['bill'],[],119,United States,upper
ocd-bill/868f1d85-6e6e-41e9-b4a3-a76e5715a6bf,S 730,African Burial Ground International Memorial Museum and Educational Center Study Act,['bill'],[],119,United States,upper
ocd-bill/15585f19-6d64-4f54-8286-db8532020cf9,S 220,Ending Presidential Overreach on Public Lands Act,['bill'],[],119,United States,upper
ocd-bill/3789a0ac-81e4-4cd4-bf9a-ea49b2f2a9ad,HR 1582,Volunteer Driver Tax Appreciation Act of 2025,['bill'],[],119,United States,lower
ocd-bill/9deee814-f763-41fd-8bf4-34439c83e63f,HR 1583,PAR Act,['bill'],[],119,United States,lower
ocd-bill/343cdab7-6c48-48ea-b60c-e0da96d5aaab,HR 1535,BAD DOGE Act,['bill'],[],119,United States,lower
ocd-bill/906c58e1-f1d7-4607-ad54-d67503183f6d,HR 1556,Eric’s Law,['bill'],[],119,United States,lower
ocd-bill/a2bfe2f6-3bae-4401-93a6-491923c3df1d,HR 1553,Empowering and Enforcing Environmental Justice Act of 2025,['bill'],[],119,United States,lower
ocd-bill/ccf0f16c-6973-404b-a156-c265571c325a,HR 1571,Bureaucratic Labor Adjustment and Downsizing Effort Act,['bill'],[],119,United States,lower
ocd-bill/5bcde502-2ad3-436d-a825-e6f16305ed73,HR 1587,Protecting International Pipelines for Energy Security Act,['bill'],[],119,United States,lower
ocd-bill/ede0009b-1e2a-4278-8cc5-43c4c609713b,HR 561,Overtime Pay Tax Relief Act of 2025,['bill'],[],119,United States,lower
ocd-bill/196e77df-32c9-4b37-82de-2d15754a4f8c,HRES 165,"Expressing support for the designation of February 28, 2025, as Community Arts Education Day.",['resolution'],[],119,United States,lower
ocd-bill/eb5aa4d3-25b5-438a-9135-83734609919a,S 743,Ag Disputes Act,['bill'],[],119,United States,upper
ocd-bill/06eebc43-2b57-496d-a924-7b9d428e6c4e,S 739,9/11 Responder and Survivor Health Funding Correction Act of 2025,['bill'],[],119,United States,upper
ocd-bill/6e956964-6cf3-4d6c-a71d-a8339c21d700,S 755,Finn Sawyer Access to Cancer Testing Act,['bill'],[],119,United States,upper
ocd-bill/ae544282-ba4e-456c-ac80-7d738d219298,S 747,Improper Payments Transparency Act,['bill'],[],119,United States,upper
ocd-bill/220f2db9-ef71-45f1-88db-67bc66669867,HR 811,Mentoring to Succeed Act of 2025,['bill'],[],119,United States,lower
ocd-bill/0bfe7f0e-af53-48b4-be96-1327be726bcc,S 303,Defund the CFPB Act,['bill'],[],119,United States,upper
ocd-bill/62dc0e88-2677-4d21-969f-eb4c6ea69f28,S 675,Theodore Roosevelt Presidential Library Museum Artifacts Act,['bill'],[],119,United States,upper
ocd-bill/bc60fe14-f07b-43e6-ab8a-7f0c1008355a,S 648,SCRUB Act of 2025,['bill'],[],119,United States,upper
ocd-bill/9a8805cf-32cf-45ab-8a6a-dd5b59f6dd05,S 646,Born in the USA Act,['bill'],[],119,United States,upper
ocd-bill/9208360a-51e7-441f-9440-b8709dc2553f,S 662,MERIT Act of 2025,['bill'],[],119,United States,upper
ocd-bill/f79dc2f9-b719-4143-a63e-781908ded6f0,S 664,NIH Reform Act,['bill'],[],119,United States,upper
ocd-bill/658a525b-5dbb-40c3-8280-f2bc9995b811,S 669,DEFUND Act of 2025,['bill'],[],119,United States,upper
ocd-bill/c92078a2-bbe3-47fe-b8a2-03834074a916,S 670,Protect the West Act of 2025,['bill'],[],119,United States,upper
ocd-bill/1f991453-716a-4140-85b8-84c7708da0b9,S 666,First Responders Wellness Act,['bill'],[],119,United States,upper
ocd-bill/684f5701-16d9-43be-83c7-4062f6ad1110,S 657,Retirement Security for American Hostages Act of 2025,['bill'],[],119,United States,upper
ocd-bill/727a12c6-2904-4da5-bb8c-c5b6b780e8e4,S 681,Wyoming Public Lands Initiative Act of 2025,['bill'],[],119,United States,upper
