id,vote_event_id,option,value
859cb781-4a17-49b2-b10e-82df1bd78b44,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,abstain,0
3a75e6f7-c3c7-4381-b8d7-7079d6c113ed,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,not voting,13
91cb6f78-251e-4336-9065-f1ffb3d875cb,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,no,209
7ea25674-f3b5-4916-8463-cdd59911e453,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,yes,211
1a61eb7c-2cd7-43b6-96b1-4f6fdc160176,ocd-vote/ca444fe4-8ee2-40e5-b429-889654cfb8a9,abstain,0
dbecbd2d-7c3e-443c-9ffc-bcb5065b59d0,ocd-vote/ca444fe4-8ee2-40e5-b429-889654cfb8a9,not voting,49
fcbc44c3-b1a5-496b-8eb9-8e393ecf91dd,ocd-vote/ca444fe4-8ee2-40e5-b429-889654cfb8a9,no,187
3052bee1-8f99-4b3c-83b1-9ad76a7556cf,ocd-vote/ca444fe4-8ee2-40e5-b429-889654cfb8a9,yes,196
73ee8192-82e3-40ae-9adf-c266454a8328,ocd-vote/dafd2b32-0eb0-425b-bda5-b19e03c8135c,abstain,0
f2428bdb-284b-4017-b164-63a4e809e082,ocd-vote/dafd2b32-0eb0-425b-bda5-b19e03c8135c,absent,3
4e6a4cdc-7a35-4d95-8c23-c681564962b2,ocd-vote/dafd2b32-0eb0-425b-bda5-b19e03c8135c,no,47
16dc03fb-fbc4-4415-a011-70ad983f5201,ocd-vote/dafd2b32-0eb0-425b-bda5-b19e03c8135c,yes,50
3161428c-ed2f-4f25-9177-37674fffbeac,ocd-vote/967ca37b-5061-4829-8fcc-4c5dbce9fe6e,abstain,0
1145cdde-bae5-46ad-b216-59db25a91463,ocd-vote/967ca37b-5061-4829-8fcc-4c5dbce9fe6e,absent,3
16cc0723-4abc-4ef9-8c9e-3881bb335376,ocd-vote/967ca37b-5061-4829-8fcc-4c5dbce9fe6e,no,27
4b7089eb-3723-448d-a1ef-1579b0725e1b,ocd-vote/967ca37b-5061-4829-8fcc-4c5dbce9fe6e,yes,70
1c45b465-3b8e-41be-ad94-a5aa2a8a8518,ocd-vote/9b61dd30-28a3-454a-a01b-b49d699cd40b,abstain,0
a5c21e7d-31b6-4e0b-898d-a84cf8bc27a1,ocd-vote/9b61dd30-28a3-454a-a01b-b49d699cd40b,absent,2
22355707-8678-4cf8-8d2b-17aaa58bafc0,ocd-vote/9b61dd30-28a3-454a-a01b-b49d699cd40b,no,28
9e356829-182c-4864-b98a-b19bfcfb7c20,ocd-vote/9b61dd30-28a3-454a-a01b-b49d699cd40b,yes,70
3967d94b-75ee-4a19-9c73-6cf7cf4f031c,ocd-vote/84e6be1f-1a7b-4eb4-9e2e-c2a5ab3756ed,abstain,0
22f0bade-66d9-424d-9a3f-2ba61ed4abdd,ocd-vote/84e6be1f-1a7b-4eb4-9e2e-c2a5ab3756ed,not voting,7
bb800948-70bd-42b9-b838-7ce55a94a723,ocd-vote/84e6be1f-1a7b-4eb4-9e2e-c2a5ab3756ed,no,215
a48f9ce8-cf45-4fae-9099-1826a3cc9b83,ocd-vote/84e6be1f-1a7b-4eb4-9e2e-c2a5ab3756ed,yes,211
116e5a94-6f13-49fe-9b25-89425c7ce396,ocd-vote/7689923d-de1c-46cc-9594-f2a75c97f2e4,abstain,0
2c696ada-59e8-48a5-ac5d-72ebd638705c,ocd-vote/7689923d-de1c-46cc-9594-f2a75c97f2e4,absent,3
df840a1d-509a-4564-8985-15e421120b5d,ocd-vote/7689923d-de1c-46cc-9594-f2a75c97f2e4,no,44
01d43a1b-d1b8-494a-ba65-30d0febbf9c6,ocd-vote/7689923d-de1c-46cc-9594-f2a75c97f2e4,yes,53
05da36ea-896c-408d-87ce-883823a548df,ocd-vote/f66a86ff-3923-44ac-bb38-9ebff7500b22,abstain,0
3a124e35-ff05-4f91-931d-e448d4b3bd63,ocd-vote/f66a86ff-3923-44ac-bb38-9ebff7500b22,not voting,5
95d6be48-3f83-4970-8645-383cd72fc85c,ocd-vote/f66a86ff-3923-44ac-bb38-9ebff7500b22,no,208
0b2eecb2-5d71-48d6-8d63-6a0ac8ef41dd,ocd-vote/f66a86ff-3923-44ac-bb38-9ebff7500b22,yes,220
10171c73-9b76-4d7d-8433-baeef1c45793,ocd-vote/dfae8fe5-076f-4bd7-8113-55f8f3be6f75,abstain,0
5756e5df-cbf6-467f-bb57-8bc41803052e,ocd-vote/dfae8fe5-076f-4bd7-8113-55f8f3be6f75,not voting,20
a4ce634b-88c6-4683-a4a0-fd1c6451af5f,ocd-vote/dfae8fe5-076f-4bd7-8113-55f8f3be6f75,no,1
bc7c741a-d01e-40f9-8c65-4c2ed7ed9929,ocd-vote/dfae8fe5-076f-4bd7-8113-55f8f3be6f75,yes,412
415e94cb-cdeb-4dfe-9435-4db3d7fa15d1,ocd-vote/9ac83db2-c19b-4aff-8eaf-932f75685bf3,abstain,0
66b94582-7507-4eb7-8bd5-2510ab7934c0,ocd-vote/9ac83db2-c19b-4aff-8eaf-932f75685bf3,not voting,16
d92fb39c-7fa8-4326-83da-026fe7f7469d,ocd-vote/9ac83db2-c19b-4aff-8eaf-932f75685bf3,no,56
18d4ff2d-9ddf-488c-913a-964b8095a039,ocd-vote/9ac83db2-c19b-4aff-8eaf-932f75685bf3,yes,361
821d9139-3a03-4652-921d-8fba64aa5c34,ocd-vote/84de2fdd-7735-4825-ac0d-5a1bbb55dd6d,abstain,0
2b1fd7b5-789b-4dec-8029-9954a6a23526,ocd-vote/84de2fdd-7735-4825-ac0d-5a1bbb55dd6d,absent,0
af14540a-ba9f-4ef0-b757-090f8d318758,ocd-vote/84de2fdd-7735-4825-ac0d-5a1bbb55dd6d,no,48
7f40ffb4-7133-4234-8854-f4b8a18d73cf,ocd-vote/84de2fdd-7735-4825-ac0d-5a1bbb55dd6d,yes,52
b4a7b8f1-98bc-40b5-b990-9930be4a8b55,ocd-vote/ae409c80-ad46-45b8-b654-a55669fcdb0b,abstain,0
7e5524a0-f484-45ba-af9e-e6f4b639805e,ocd-vote/ae409c80-ad46-45b8-b654-a55669fcdb0b,absent,5
20b77002-8e37-4774-a980-ae4802f2b62c,ocd-vote/ae409c80-ad46-45b8-b654-a55669fcdb0b,no,42
584e6349-0025-4e3c-a021-77bccd38e935,ocd-vote/ae409c80-ad46-45b8-b654-a55669fcdb0b,yes,53
3f548952-b08a-4402-8c93-ab98b6545381,ocd-vote/b7490e22-d11f-4935-9ba8-a9dfb85721d6,abstain,1
45b8a4ab-85eb-40a1-8b7e-5f66471fefc1,ocd-vote/b7490e22-d11f-4935-9ba8-a9dfb85721d6,absent,1
e2603fae-c75c-4b31-97a6-dba172f05fff,ocd-vote/b7490e22-d11f-4935-9ba8-a9dfb85721d6,no,83
4ee8bada-e7c2-4351-b02f-e2d6115f8fbe,ocd-vote/b7490e22-d11f-4935-9ba8-a9dfb85721d6,yes,15
a3f14b43-d3d8-4434-a97f-57588568058e,ocd-vote/8cf5b77a-1a55-4b0e-8773-8d9c55af4d83,abstain,1
16523e45-a513-4085-a5f9-8ce7697c08d0,ocd-vote/8cf5b77a-1a55-4b0e-8773-8d9c55af4d83,absent,2
f501c614-22a4-4d71-a331-139de3251af1,ocd-vote/8cf5b77a-1a55-4b0e-8773-8d9c55af4d83,no,82
14aba78f-06ce-4a28-ab20-8545401d59de,ocd-vote/8cf5b77a-1a55-4b0e-8773-8d9c55af4d83,yes,15
2ef4aac1-3d83-444d-8711-1efe03cb7066,ocd-vote/e8716b3c-be41-4cbd-998c-700841109a82,abstain,0
9dc67948-26ae-452f-92b8-09ff2250401c,ocd-vote/e8716b3c-be41-4cbd-998c-700841109a82,not voting,10
47fb93f3-47ce-4e85-bf29-1d3313194587,ocd-vote/e8716b3c-be41-4cbd-998c-700841109a82,no,208
dfa4ab70-420b-45c1-8816-8bcf832c4641,ocd-vote/e8716b3c-be41-4cbd-998c-700841109a82,yes,215
5bcb39a3-3302-4f7a-a2b2-ea1f7ed5fccb,ocd-vote/5befa1a7-a451-45f4-9946-c4ff2a756085,abstain,0
47d3b9c0-e149-4624-a031-3ec4977d43b5,ocd-vote/5befa1a7-a451-45f4-9946-c4ff2a756085,not voting,13
13e41179-6af6-413b-ad8e-0ca862018b80,ocd-vote/5befa1a7-a451-45f4-9946-c4ff2a756085,no,208
2492b37d-eea3-482d-8748-af1d24a2ab00,ocd-vote/5befa1a7-a451-45f4-9946-c4ff2a756085,yes,212
e2a77ea4-1034-4a80-8749-e53305f90fed,ocd-vote/b7c29079-1be4-4fd7-8f60-590682ca391b,abstain,0
34fc766a-15d6-4a8b-87b2-6e3f4d173fb2,ocd-vote/b7c29079-1be4-4fd7-8f60-590682ca391b,not voting,13
0294de55-df3c-4902-91fa-000b8a7ebda1,ocd-vote/b7c29079-1be4-4fd7-8f60-590682ca391b,no,108
0d156cc5-88c6-4163-a089-763f464583e7,ocd-vote/b7c29079-1be4-4fd7-8f60-590682ca391b,yes,312
33ac7c0b-6804-4240-b8c8-814c40bed2d5,ocd-vote/48acaba3-73f0-42b3-9077-19b51434d4c4,abstain,1
d8a36efa-1bfc-45d4-9c31-592660eb1c33,ocd-vote/48acaba3-73f0-42b3-9077-19b51434d4c4,not voting,11
0c48051f-7db5-44aa-831a-d3d5257bca7f,ocd-vote/48acaba3-73f0-42b3-9077-19b51434d4c4,no,211
2c41d4de-90ef-47f2-b3d9-e0891f5c9888,ocd-vote/48acaba3-73f0-42b3-9077-19b51434d4c4,yes,209
192359b6-7f2e-47b0-8bf3-d7b12ab88fa2,ocd-vote/2c71b93b-7439-4959-9d68-7b54c712ecc7,abstain,0
7539c68b-da16-41f6-a6a2-ad47ae18594b,ocd-vote/2c71b93b-7439-4959-9d68-7b54c712ecc7,not voting,19
90c34bcd-efce-4bbd-a45c-e795c1942522,ocd-vote/2c71b93b-7439-4959-9d68-7b54c712ecc7,no,188
68406b58-2546-499a-a5c3-1d4ee157e238,ocd-vote/2c71b93b-7439-4959-9d68-7b54c712ecc7,yes,226
f5880c8f-6b0b-4b6e-b31d-8124ab481141,ocd-vote/1e76647e-dc89-4fc1-b34b-9fb4f497acde,abstain,0
012a705e-1eee-408c-92bf-faca06433bef,ocd-vote/1e76647e-dc89-4fc1-b34b-9fb4f497acde,not voting,20
cb69cbcf-fcf5-4e88-8517-03bc1229b189,ocd-vote/1e76647e-dc89-4fc1-b34b-9fb4f497acde,no,207
e252afdc-8a1c-42a9-b6b1-7a0bffa0fdcd,ocd-vote/1e76647e-dc89-4fc1-b34b-9fb4f497acde,yes,205
1831a657-d4fd-44b7-a57f-bb804d6c4b02,ocd-vote/ed15ae80-84fb-4aa2-b3b0-74bc4a7cc9e3,abstain,0
920d4fe7-c8ca-4ec5-a495-763c0b9e90dd,ocd-vote/ed15ae80-84fb-4aa2-b3b0-74bc4a7cc9e3,absent,2
92056105-6267-40a4-a7c2-3f7613d3e684,ocd-vote/ed15ae80-84fb-4aa2-b3b0-74bc4a7cc9e3,no,47
969ce7ed-78d3-4f61-9f4a-459b46ca0c40,ocd-vote/ed15ae80-84fb-4aa2-b3b0-74bc4a7cc9e3,yes,51
5cb3f91d-cd2e-467e-a3ea-9b0206d1169e,ocd-vote/f28036c3-7abf-4509-9b1f-b133b3e2e329,abstain,0
