id,vote_event_id,option,voter_name,voter_id,note
f0d47352-a305-436c-95ac-fbbd14e3d9da,ocd-vote/dfae8fe5-076f-4bd7-8113-55f8f3be6f75,yes,Adams,ocd-person/76bfaf2b-8259-5f56-bce9-d1c8cd6c780d,A000370
dd812271-65d8-4dcc-9f0a-960bfca0646a,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,no,Adams,ocd-person/76bfaf2b-8259-5f56-bce9-d1c8cd6c780d,A000370
20525bdc-a7e2-477e-bc23-6f354d49956e,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,yes,Aderholt,ocd-person/1a69c825-1015-5d72-a8d8-a720d586c3b4,A000055
ba10a73a-4edc-488d-858a-3305b96984d0,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,no,Aguilar,ocd-person/705749f4-c12c-5090-88fa-012d36611500,A000371
33e79bc3-d713-4758-a8a0-900d15e3337b,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,yes,Alford,ocd-person/baf62641-318a-58be-bb76-f7c6aeb97684,A000379
c8b0bac5-4e3c-496b-8909-f2139fcc68e9,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,not voting,Allen,ocd-person/4cdf55a7-a62e-5b3d-a07f-305f4e9dc5c1,A000372
32b48fc2-4df9-4ef9-b0e3-ea8026762f6f,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,no,Amo,ocd-person/c0f06e59-7d28-535f-8efe-5f49f273763d,A000380
5981cfec-f604-46f2-b225-64cb1d1d8bd9,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,yes,Amodei (NV),,A000369
7fedcf2e-f8db-4530-b6f5-65cb6728239d,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,no,Ansari,ocd-person/0e94bb34-dc2e-47d2-8953-ed3bfe2d21f2,A000381
bc012b0e-6ac2-432d-bbe2-3d2d69d3be82,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,yes,Arrington,ocd-person/4938e6be-7c14-536d-a559-91c74fcc17db,A000375
067bde42-9bea-4a51-8261-47c0cf17d427,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,no,Auchincloss,ocd-person/a68063b7-2ce8-5638-a836-4fa7b22b3432,A000148
b632fb0a-b254-4fe5-b8cc-357da226f57f,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,yes,Babin,ocd-person/e1f14f02-810c-52c5-8ad5-b2744b95a069,B001291
fec2e38b-4db0-4367-8223-5f5570708ce4,ocd-vote/b2868efa-20c8-4431-940c-d958465aee50,yes,Bacon,ocd-person/d409840c-63c1-53e4-9ff6-e5677cef9fe6,B001298
