,Name,Chamber,bioguide_id,Party,2025 Cook PVI Party,2025 Cook PVI Number,PVI Party Difference
0,Barry Moore,House,M001212,Republican,R,27,False
1,Shomari Figures,House,F000481,Democratic,D,5,False
2,Mike D. Rogers,House,R000575,Republican,R,23,False
3,Robert B. Aderholt,House,A000055,Republican,R,33,False
4,Dale W. Strong,House,S001220,Republican,R,15,False
5,Gary J. Palmer,House,P000609,Republican,R,20,False
6,Terri A. Sewell,House,S001185,Democratic,D,13,False
9,Nicholas Begich,House,B001323,Republican,R,6,False
12,David Schweikert,House,S001183,Republican,R,1,False
13,Elijah Crane,House,C001132,Republican,R,7,False
14,Yassamin Ansari,House,A000381,Democratic,D,22,False
15,Greg Stanton,House,S001211,Democratic,D,4,False
16,Andy Biggs,House,B001302,Republican,R,10,False
17,Juan Ciscomani,House,C001133,Republican,N,0,True
18,Raúl M. Grijalva,House,G000551,Democratic,D,13,False
19,Abraham Hamadeh,House,H001098,Republican,R,8,False
20,Paul A. Gosar,House,G000565,Republican,R,15,False
23,"Eric A. ""Rick"" Crawford",House,C001087,Republican,R,23,False
24,J. French Hill,House,H001072,Republican,R,8,False
25,Steve Womack,House,W000809,Republican,R,13,False
26,Bruce Westerman,House,W000821,Republican,R,20,False
29,Doug LaMalfa,House,L000578,Republican,R,12,False
30,Jared Huffman,House,H001068,Democratic,D,24,False
31,Kevin Kiley,House,K000401,Republican,R,2,False
32,Mike Thompson,House,T000460,Democratic,D,17,False
33,Tom McClintock,House,M001177,Republican,R,8,False
34,Ami Bera,House,B001287,Democratic,D,8,False
35,Doris O. Matsui,House,M001163,Democratic,D,16,False
36,John Garamendi,House,G000559,Democratic,D,24,False
37,Josh Harder,House,H001090,Democratic,D,1,False
38,Mark DeSaulnier,House,D000623,Democratic,D,18,False
39,Nancy Pelosi,House,P000197,Democratic,D,36,False
40,Lateefah Simon,House,S001231,Democratic,D,39,False
41,Adam Gray,House,G000605,Democratic,R,0,True
42,Eric Swalwell,House,S001193,Democratic,D,20,False
43,Kevin Mullin,House,M001225,Democratic,D,26,False
44,Sam Liccardo,House,L000607,Democratic,D,26,False
45,Ro Khanna,House,K000389,Democratic,D,21,False
46,Zoe Lofgren,House,L000397,Democratic,D,17,False
47,Jimmy Panetta,House,P000613,Democratic,D,18,False
48,Vince Fong,House,F000480,Republican,R,15,False
49,Jim Costa,House,C001059,Democratic,D,4,False
50,David G. Valadao,House,V000129,Republican,R,1,False
51,Jay Obernolte,House,O000019,Republican,R,8,False
52,Salud O. Carbajal,House,C001112,Democratic,D,13,False
53,Raul Ruiz,House,R000599,Democratic,D,3,False
54,Julia Brownley,House,B001285,Democratic,D,8,False
55,George Whitesides,House,W000830,Democratic,D,3,False
56,Judy Chu,House,C001080,Democratic,D,15,False
57,Luz Rivas,House,R000620,Democratic,D,20,False
58,Laura Friedman,House,F000483,Democratic,D,22,False
59,Gilbert Ray Cisneros,House,C001123,Democratic,D,10,False
60,Brad Sherman,House,S000344,Democratic,D,17,False
61,Pete Aguilar,House,A000371,Democratic,D,7,False
62,Jimmy Gomez,House,G000585,Democratic,D,28,False
63,Norma J. Torres,House,T000474,Democratic,D,8,False
64,Ted Lieu,House,L000582,Democratic,D,21,False
65,Sydney Kamlager-Dove,House,K000400,Democratic,D,33,False
66,Linda T. Sánchez,House,S001156,Democratic,D,10,False
67,Mark Takano,House,T000472,Democratic,D,7,False
68,Young Kim,House,K000397,Republican,R,1,False
69,Ken Calvert,House,C000059,Republican,R,2,False
70,Robert Garcia,House,G000598,Democratic,D,18,False
71,Maxine Waters,House,W000187,Democratic,D,27,False
72,Nanette Diaz Barragán,House,B001300,Democratic,D,19,False
73,Derek Tran,House,T000491,Democratic,D,1,False
74,J. Luis Correa,House,C001110,Democratic,D,11,False
75,Dave Min,House,M001241,Democratic,D,3,False
76,Darrell Issa,House,I000056,Republican,R,7,False
77,Mike Levin,House,L000593,Democratic,D,4,False
78,Scott H. Peters,House,P000608,Democratic,D,16,False
79,Sara Jacobs,House,J000305,Democratic,D,13,False
80,Juan Vargas,House,V000130,Democratic,D,13,False
83,Diana DeGette,House,D000197,Democratic,D,29,False
84,Joe Neguse,House,N000191,Democratic,D,20,False
85,Jeff Hurd,House,H001100,Republican,R,5,False
86,Lauren Boebert,House,B000825,Republican,R,9,False
87,Jeff Crank,House,C001137,Republican,R,5,False
88,Jason Crow,House,C001121,Democratic,D,11,False
89,Brittany Pettersen,House,P000620,Democratic,D,8,False
90,Gabe Evans,House,E000300,Republican,N,0,True
93,John B. Larson,House,L000557,Democratic,D,12,False
94,Joe Courtney,House,C001069,Democratic,D,4,False
95,Rosa L. DeLauro,House,D000216,Democratic,D,8,False
96,James A. Himes,House,H001047,Democratic,D,13,False
97,Jahana Hayes,House,H001081,Democratic,D,3,False
100,Sarah McBride,House,M001238,Democratic,D,8,False
103,Eleanor Holmes Norton,House,N000147,Democratic,,,
104,Neal P. Dunn,House,D000628,Republican,R,8,False
105,Kat Cammack,House,C001039,Republican,R,10,False
106,Aaron Bean,House,B001314,Republican,R,5,False
107,John H. Rutherford,House,R000609,Republican,R,10,False
108,Randy Fine,House,F000484,Republican,R,14,False
109,Cory Mills,House,M001216,Republican,R,5,False
110,Mike Haridopolos,House,H001099,Republican,R,11,False
111,Darren Soto,House,S001200,Democratic,D,4,False
112,Maxwell Frost,House,F000476,Democratic,D,13,False
113,Daniel Webster,House,W000806,Republican,R,8,False
114,Gus M. Bilirakis,House,B001257,Republican,R,17,False
115,Anna Paulina Luna,House,L000596,Republican,R,5,False
116,Kathy Castor,House,C001066,Democratic,D,5,False
117,Laurel M. Lee,House,L000597,Republican,R,5,False
118,Vern Buchanan,House,B001260,Republican,R,7,False
119,W. Gregory Steube,House,S001214,Republican,R,11,False
120,Scott Franklin,House,F000472,Republican,R,14,False
121,Byron Donalds,House,D000032,Republican,R,14,False
122,Sheila Cherfilus-McCormick,House,C001127,Democratic,D,22,False
123,Brian J. Mast,House,M001199,Republican,R,7,False
124,Lois Frankel,House,F000462,Democratic,D,4,False
125,Jared Moskowitz,House,M001217,Democratic,D,2,False
126,Frederica S. Wilson,House,W000808,Democratic,D,18,False
127,Debbie Wasserman Schultz,House,W000797,Democratic,D,5,False
128,Mario Diaz-Balart,House,D000600,Republican,R,16,False
129,Maria Elvira Salazar,House,S000168,Republican,R,6,False
130,Carlos A. Gimenez,House,G000593,Republican,R,10,False
133,"Earl L. ""Buddy"" Carter",House,C001103,Republican,R,8,False
134,Sanford D. Bishop,House,B000490,Democratic,D,4,False
135,Brian Jack,House,J000311,Republican,R,15,False
136,"Henry C. ""Hank"" Johnson",House,J000288,Democratic,D,27,False
137,Nikema Williams,House,W000788,Democratic,D,36,False
138,Lucy McBath,House,M001208,Democratic,D,25,False
139,Richard McCormick,House,M001218,Republican,R,11,False
140,Austin Scott,House,S001189,Republican,R,15,False
141,Andrew S. Clyde,House,C001116,Republican,R,17,False
142,Mike Collins,House,C001129,Republican,R,11,False
143,Barry Loudermilk,House,L000583,Republican,R,12,False
144,Rick W. Allen,House,A000372,Republican,R,7,False
145,David Scott,House,S001157,Democratic,D,21,False
146,Marjorie Taylor Greene,House,G000596,Republican,R,19,False
149,Ed Case,House,C001055,Democratic,D,13,False
150,Jill N. Tokuda,House,T000487,Democratic,D,12,False
153,Russ Fulcher,House,F000469,Republican,R,22,False
