name,bioguide_id,num_cross_party_cosponsored_bills
Brian K. Fitzpatrick,F000466,182
Donald G. Davis,D000230,109
Jimmy Panetta,P000613,92
Michael Lawler,L000599,64
Amy Klobuchar,K000367,61
Josh Gottheimer,G000583,56
Thomas R. Suozzi,S001201,53
Gary Peters,P000595,51
Don Bacon,B001298,50
Jeanne Shaheen,S001181,49
Christopher A. Coons,C001088,47
Jim Costa,C001059,47
Richard Blumenthal,B001277,46
Chris Pappas,P000614,42
Angie Craig,C001119,42
Dina Titus,T000468,41
Bradley Scott Schneider,S001190,41
Joe Neguse,N000191,39
Bernard Sanders,S000033,39
Susie Lee,L000590,39
Cory Booker,B001288,37
Eleanor Holmes Norton,N000147,37
Salud O. Carbajal,C001112,37
Debbie Dingell,D000624,37
Josh Harder,H001090,37
Catherine Cortez Masto,C001113,36
Suzan K. DelBene,D000617,36
Alex Padilla,P000145,36
Christopher R. Deluzio,D000530,36
Mark Kelly,K000377,35
Joseph D. Morelle,M001206,35
Brittany Pettersen,P000620,35
John W. Hickenlooper,H000273,35
Michael Bennet,B001267,35
Jared Moskowitz,M001217,35
Sharice Davids,D000629,34
Mark R. Warner,W000805,34
Julia Brownley,B001285,33
Eric Sorensen,S001225,33
Sanford D. Bishop,B000490,33
Raphael Warnock,W000790,33
John K. Fetterman,F000479,33
Terri A. Sewell,S001185,32
Jeff Merkley,M001176,32
Jared F. Golden,G000592,32
Susan M. Collins,C001035,32
Seth Moulton,M001196,31
Nikki Budzinski,B001315,31
Raja Krishnamoorthi,K000391,31
Greg Landsman,L000601,31
Hillary J. Scholten,S001221,30
Jill N. Tokuda,T000487,29
Chrissy Houlahan,H001085,29
Shri Thanedar,T000488,29
Marie Gluesenkamp Perez,G000600,29
Shelley Moore Capito,C001047,29
Deborah K. Ross,R000305,29
Paul Tonko,T000469,29
Peter Welch,W000800,28
Debbie Wasserman Schultz,W000797,27
Kim Schrier,S001216,27
Chris Van Hollen,V000128,27
Patrick Ryan,R000579,27
Darren Soto,S001200,26
Richard J. Durbin,D000563,26
Young Kim,K000397,25
Marc A. Veasey,V000131,25
John Cornyn,C001056,25
Kristen McDonald Rivet,M001237,25
Tammy Duckworth,D000622,25
Marsha Blackburn,B001243,25
Kevin Cramer,C001096,25
Mazie K. Hirono,H001042,24
Donald Norcross,N000188,24
Steve Cohen,C001068,24
Bill Cassidy,C001075,24
Danny K. Davis,D000096,24
Sheila Cherfilus-McCormick,C001127,24
Mike Rounds,R000605,24
Ted Lieu,L000582,23
Josh Riley,R000622,23
Tammy Baldwin,B001230,22
Tina Smith,S001203,22
Frank J. Mrvan,M001214,22
Henry Cuellar,C001063,22
Kevin Mullin,M001225,22
James Lankford,L000575,22
Zachary Nunn,N000193,22
Jefferson Van Drew,V000133,22
Gabe Vasquez,V000136,22
Juan Ciscomani,C001133,22
Laura Gillen,G000602,22
Chuck Grassley,G000386,22
Emanuel Cleaver,C001061,22
Nicole Malliotakis,M000317,21
Grace Meng,M001188,21
Mikie Sherrill,S001207,21
Chellie Pingree,P000597,21
"Henry C. ""Hank"" Johnson",J000288,21
Timothy M. Kennedy,K000402,21
Lisa Murkowski,M001153,21
Sheldon Whitehouse,W000802,21
Ruben Gallego,G000574,21
