primary_name,primary_bioguide_id,num_bills_with_cross_party_cosponsors,rank
Amy Klobuchar,K000367,22,1
Brian K. Fitzpatrick,F000466,21,2
Marsha Blackburn,B001243,21,3
Catherine Cortez Masto,C001113,18,4
Vern Buchanan,B001260,18,5
Nicole Malliotakis,M000317,17,6
Gary Peters,P000595,15,7
Chuck Grassley,G000386,15,8
Claudia Tenney,T000478,13,9
Randy Feenstra,F000446,13,10
John Cornyn,C001056,13,11
Dan Sullivan,S001198,13,12
Bill Cassidy,C001075,13,13
Richard J. Durbin,D000563,12,14
James Lankford,L000575,12,15
Ted Cruz,C001098,12,16
Nicholas A. Langworthy,L000600,12,17
Michael Lawler,L000599,12,18
Jerry Moran,M000934,12,19
Mariannette Miller-Meeks,M001215,12,20
Alex Padilla,P000145,11,21
Gerald E. Connolly,C001078,11,22
Darin LaHood,L000585,11,23
Peter Welch,W000800,11,24
Christopher A. Coons,C001088,10,25
Jeanne Shaheen,S001181,10,26
John R. Moolenaar,M001194,10,27
Lisa Murkowski,M001153,10,28
Joe Neguse,N000191,10,29
Zachary Nunn,N000193,10,30
Mike Rounds,R000605,10,31
Marie Gluesenkamp Perez,G000600,9,32
Rick Scott,S001217,9,33
Jimmy Panetta,P000613,9,34
Juan Ciscomani,C001133,9,35
Josh Gottheimer,G000583,9,36
Nick LaLota,L000598,9,37
David Kustoff,K000392,8,38
Ed Case,C001055,8,39
Gus M. Bilirakis,B001257,8,40
Ken Calvert,C000059,8,41
Jefferson Van Drew,V000133,8,42
Donald G. Davis,D000230,8,43
Roger Williams,W000816,8,44
Byron Donalds,D000032,8,45
Mike Kelly,K000376,8,46
Mikie Sherrill,S001207,8,47
Young Kim,K000397,8,48
Debbie Dingell,D000624,7,49
Monica De La Cruz,D000594,7,50
Mike Crapo,C000880,7,51
Edward J. Markey,M000133,7,52
Gregory F. Murphy,M001210,7,53
John Barrasso,B001261,7,54
Roger F. Wicker,W000437,7,55
Jennifer A. Kiggans,K000399,7,56
August Pfluger,P000048,7,57
David P. Joyce,J000295,7,58
Joseph D. Morelle,M001206,7,59
John W. Hickenlooper,H000273,7,60
Carol D. Miller,M001205,6,61
Gabe Vasquez,V000136,6,62
Jeff Merkley,M001176,6,63
Richard Blumenthal,B001277,6,64
Andrew R. Garbarino,G000597,6,65
Steve Daines,D000618,6,66
Marilyn Strickland,S001159,6,67
Robert J. Wittman,W000804,6,68
James E. Risch,R000584,6,69
Jon Ossoff,O000174,6,70
Blake D. Moore,M001213,6,71
Jay Obernolte,O000019,6,72
Jasmine Crockett,C001130,6,73
Eric S. Schmitt,S001227,6,74
Tim Burchett,B001309,6,75
"Earl L. ""Buddy"" Carter",C001103,6,76
Adrian Smith,S001172,6,77
Brittany Pettersen,P000620,6,78
Kirsten E. Gillibrand,G000555,6,79
Cory Booker,B001288,6,80
Glenn Thompson,T000467,6,81
Todd Young,Y000064,6,82
Jim Costa,C001059,6,83
Ron Estes,E000298,6,84
Pete Stauber,S001212,6,85
Lloyd Smucker,S001199,6,86
Josh Harder,H001090,6,87
Steve Cohen,C001068,6,88
Shelley Moore Capito,C001047,6,89
Nikki Budzinski,B001315,6,90
Chrissy Houlahan,H001085,6,91
Mike Carey,C001126,6,92
Josh Hawley,H001089,5,93
