,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
0,Barry Moore,House,M001212,Alabama,1,Republican,2.0,41.52,2.0,26.9,2.0,14.504832801059974,1.4084507042253522,10.76665933288914,3.0,66.92818611510303,2.112676056338028,62.05516344768534,7.0,82.4013525403751,0.0,26.42050798688046,27.0,95.16250692017434,0.639,92.84637239742209,322.45137505562366,368.1058764900118,35.22053179758555,C
2,Shomari Figures,House,F000481,Alabama,2,Democratic,0.0,17.96,4.0,31.52,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,4.0,41.17378192710424,6.0,93.86426109559211,5.0,18.081048527850513,0.01,52.65764643003651,397.61028575902077,415.26810755322424,51.2686477821108,B
3,Mike D. Rogers,House,R000575,Alabama,3,Republican,1.0,28.58,1.0,24.72,3.0,16.175070264986598,3.260869565217391,21.274627750396014,1.0,71.76457921234285,1.0869565217391304,72.54661316349507,7.0,82.4013525403751,0.0,26.42050798688046,23.0,88.35618780133323,0.379,81.23708051658338,308.1317884378059,347.87300205809777,28.918351490090178,C
14,Robert B. Aderholt,House,A000055,Alabama,4,Republican,1.0,28.58,4.0,31.52,2.0,14.504832801059974,2.8169014084507045,18.329280484508025,1.0,71.76457921234285,1.4084507042253522,69.41203942559527,7.0,82.4013525403751,0.0,26.42050798688046,33.0,99.092571905933,0.405,82.75287105856918,311.0682034833243,354.7636452712831,31.005438245286744,C
28,Dale W. Strong,House,S001220,Alabama,5,Republican,2.0,41.52,3.0,29.17,11.0,33.63970503661473,8.527131782945736,67.72189155458649,1.0,71.76457921234285,0.7751937984496124,75.42669891635911,7.0,82.4013525403751,0.0,26.42050798688046,15.0,60.15302407259926,0.619,92.21961594734536,371.8350687061339,411.3473161609677,49.90515692231989,B
29,Gary J. Palmer,House,P000609,Alabama,6,Republican,2.0,41.52,2.0,26.9,2.0,14.504832801059974,2.0408163265306123,13.827312872041553,1.0,71.76457921234285,1.020408163265306,73.17510010810024,7.0,82.4013525403751,0.0,26.42050798688046,20.0,80.01354822493076,0.678,93.95624705471094,331.94527268266063,374.0995577909002,37.17892939455329,C
34,Terri A. Sewell,House,S001185,Alabama,7,Democratic,0.0,17.96,32.0,92.0,12.0,36.25335371477062,5.853658536585367,42.93126186979449,9.0,50.96287062308824,4.390243902439024,36.61943243738192,5.0,56.41653394054272,6.0,93.86426109559211,13.0,50.933113219618,-0.401,19.859047163725556,455.5093780910461,483.23287992946985,73.38009367585472,B
41,Nicholas Begich,House,B001323,Alaska,At Large,Republican,1.0,28.58,0.0,22.64,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,7.0,82.4013525403751,0.0,26.42050798688046,6.0,21.321321511132506,0.01,52.65764643003651,316.31359042785164,331.38597879058716,24.211607230139936,C
42,David Schweikert,House,S001183,Arizona,1,Republican,1.0,28.58,2.0,26.9,30.0,82.10807318700654,2.272727272727273,15.085764839847048,26.0,12.542735022765994,1.9696969696969693,63.59539878331433,7.0,82.4013525403751,0.0,26.42050798688046,1.0,8.37753182204899,0.556,89.9727432045558,306.0217183340274,322.35223175695097,21.820441678904,C
49,Elijah Crane,House,C001132,Arizona,2,Republican,2.0,41.52,3.0,29.17,21.0,61.17558422860356,4.329896907216495,29.398134447674764,19.0,25.285985980011972,3.917525773195876,41.789860287405965,7.0,82.4013525403751,0.0,26.42050798688046,7.0,24.877091667755064,0.745,95.5434537241457,326.349799804514,350.05872718775777,29.57320589187793,C
