,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,party letter,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
0,Katie Boyd Britt,Senate,B001319,Alabama,,Republican,5.45,50.03,18.54,50.01,156.0,99.97695216945228,16.386554621848738,95.51833316020614,6.0,71.84800146510678,0.6302521008403361,80.44334759163722,3.0,78.95549716117105,0.0,26.880262246198537,R,14.81,85.08455614512123,0.571,88.53612791354735,456.8086914668712,515.898092593429,80.43293039011078,B
1,Tommy Tuberville,Senate,T000278,Alabama,,Republican,1.0,15.57,8.0,18.58,33.0,38.08619340717676,3.594771241830065,14.875107715373975,19.0,62.74168378600977,2.0697167755991286,73.38967459088809,3.0,78.95549716117105,0.0,26.880262246198537,R,14.81,85.08455614512123,0.936,97.79602130574379,277.1163339700904,314.245091697053,19.661721654952615,C
3,Lisa Murkowski,Senate,M001153,Alaska,,Republican,10.0,84.99,21.0,58.27,16.0,20.349338184641464,6.083650190114068,30.542716030909155,3.0,73.78687810750579,1.1406844106463878,78.08213538623467,3.0,78.95549716117105,0.0,26.880262246198537,R,6.46,36.169821791801546,0.208,65.37835350699454,462.41541450675896,494.2568768616037,74.9707409461151,B
14,Dan Sullivan,Senate,S001198,Alaska,,Republican,13.0,95.72,19.0,51.57,27.0,31.24699174013662,5.544147843942506,26.61892000640229,11.0,68.47076816589363,2.2587268993839835,72.37630506372832,3.0,78.95549716117105,0.0,26.880262246198537,R,6.46,36.169821791801546,0.493,84.82340549058308,475.16109566618564,512.49997896435,79.62653992504485,B
19,Ruben Gallego,Senate,G000574,Arizona,,Democratic,2.0,21.64,21.0,58.27,13.0,17.825654124122998,6.951871657754011,37.3370459363474,14.0,66.365075279786,7.4866310160427805,40.056612050504036,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.401,16.908741356741817,428.66093465431635,435.54352364849285,56.96202617608922,B
24,Mark Kelly,Senate,K000377,Arizona,,Democratic,5.0,45.95,35.0,91.87,25.0,29.090507753003475,4.789272030651341,21.59269712559466,84.0,17.32132660698048,16.091954022988507,5.00541176742172,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.217,29.15408518929815,466.5998352573526,476.94840974605427,70.08035925834992,B
27,John Boozman,Senate,B001236,Arkansas,,Republican,2.0,21.64,19.0,51.57,55.0,64.70897720849523,18.39464882943144,98.33038207093699,1.0,75.04034628523107,0.334448160535117,81.73809475134217,3.0,78.95549716117105,0.0,26.880262246198537,R,15.31,86.93957259085377,0.427,81.11716765054538,387.602419967987,437.0210139363345,57.453950569369894,B
39,Tom Cotton,Senate,C001095,Arkansas,,Republican,3.0,28.88,9.0,20.93,21.0,24.999516972585155,8.75,52.47578046655976,21.0,61.25794451276027,8.75,32.408329267044266,3.0,78.95549716117105,0.0,26.880262246198537,R,15.31,86.93957259085377,0.583,89.04432660386263,297.1082689989356,336.1666377896362,25.214023663595043,C
45,Alex Padilla,Senate,P000145,California,,Democratic,11.0,89.68,36.0,93.07,66.0,76.35664095437909,11.978221415607983,77.4385137155064,74.0,22.76261231300922,13.430127041742288,11.244781035269092,0.0,5.111406314983323,0.0,26.880262246198537,D,11.52,68.82224217026204,-0.375,18.40601253467595,425.2812300648998,458.4639036965617,64.42635640375556,B
47,Adam B. Schiff,Senate,S001150,California,,Democratic,0.0,10.75,14.0,35.02,25.0,29.090507753003475,2.9036004645760745,11.70610932501463,171.0,0.41847464247209976,19.860627177700348,1.209346738942385,0.0,5.111406314983323,0.0,26.880262246198537,D,11.52,68.82224217026204,-0.35,19.921054778198666,136.68293280665605,147.4511928046605,1.1635590380657612,F
